Animal,Descriptors
antelope,"The animal is furry, toughskin, big, lean, hooves, longleg, tail, chewteeth, horns, walks, fast, strong, muscle, quadrapedal, active, agility, vegetation, forager, grazer, newworld, oldworld, plains, fields, mountains, ground, timid, group. It is not black, white, blue, brown, gray, orange, red, yellow, patches, spots, stripes, hairless, small, bulbous, flippers, hands, pads, paws, longneck, meatteeth, buckteeth, strainteeth, claws, tusks, smelly, flys, hops, swims, tunnels, slow, weak, bipedal, inactive, nocturnal, hibernate, fish, meat, plankton, insects, hunter, scavenger, skimmer, stalker, arctic, coastal, desert, bush, forest, jungle, ocean, water, tree, cave, fierce, smart, solitary, nestspot, domestic."
grizzly bear,"The animal is black, brown, furry, toughskin, big, bulbous, paws, chewteeth, meatteeth, claws, walks, fast, slow, strong, muscle, bipedal, quadrapedal, active, inactive, nocturnal, hibernate, fish, meat, forager, hunter, stalker, newworld, forest, mountains, ground, cave, fierce, smart, solitary. It is not white, blue, gray, orange, red, yellow, patches, spots, stripes, hairless, small, lean, flippers, hands, hooves, pads, longleg, longneck, tail, buckteeth, strainteeth, horns, tusks, smelly, flys, hops, swims, tunnels, weak, agility, plankton, vegetation, insects, grazer, scavenger, skimmer, oldworld, arctic, coastal, desert, bush, plains, fields, jungle, ocean, water, tree, timid, group, nestspot, domestic."
killer whale,"The animal is black, white, patches, spots, hairless, toughskin, big, bulbous, lean, flippers, tail, meatteeth, strainteeth, swims, fast, strong, active, agility, fish, meat, plankton, hunter, arctic, coastal, ocean, water, fierce, smart, group. It is not blue, brown, gray, orange, red, yellow, stripes, furry, small, hands, hooves, pads, paws, longleg, longneck, chewteeth, buckteeth, horns, claws, tusks, smelly, flys, hops, tunnels, walks, slow, weak, muscle, bipedal, quadrapedal, inactive, nocturnal, hibernate, vegetation, insects, forager, grazer, scavenger, skimmer, stalker, newworld, oldworld, desert, bush, plains, forest, fields, jungle, mountains, ground, tree, cave, timid, solitary, nestspot, domestic."
beaver,"The animal is brown, furry, toughskin, small, bulbous, pads, paws, tail, chewteeth, buckteeth, strainteeth, claws, swims, fast, strong, muscle, quadrapedal, active, nocturnal, hibernate, agility, fish, newworld, coastal, ground, water, timid, smart, group, solitary, nestspot. It is not black, white, blue, gray, orange, red, yellow, patches, spots, stripes, hairless, big, lean, flippers, hands, hooves, longleg, longneck, meatteeth, horns, tusks, smelly, flys, hops, tunnels, walks, slow, weak, bipedal, inactive, meat, plankton, vegetation, insects, forager, grazer, hunter, scavenger, skimmer, stalker, oldworld, arctic, desert, bush, plains, forest, fields, jungle, mountains, ocean, tree, cave, fierce, domestic."
dalmatian,"The animal is black, white, patches, spots, furry, hairless, big, lean, paws, longleg, tail, chewteeth, meatteeth, walks, fast, strong, muscle, quadrapedal, active, agility, meat, newworld, oldworld, ground, timid, smart, group, solitary, domestic. It is not blue, brown, gray, orange, red, yellow, stripes, toughskin, small, bulbous, flippers, hands, hooves, pads, longneck, buckteeth, strainteeth, horns, claws, tusks, smelly, flys, hops, swims, tunnels, slow, weak, bipedal, inactive, nocturnal, hibernate, fish, plankton, vegetation, insects, forager, grazer, hunter, scavenger, skimmer, stalker, arctic, coastal, desert, bush, plains, forest, fields, jungle, mountains, ocean, water, tree, cave, fierce, nestspot."
persian cat,"The animal is white, blue, gray, furry, small, bulbous, pads, paws, tail, chewteeth, meatteeth, claws, walks, fast, slow, weak, quadrapedal, inactive, agility, fish, meat, newworld, oldworld, ground, timid, smart, solitary, domestic. It is not black, brown, orange, red, yellow, patches, spots, stripes, hairless, toughskin, big, lean, flippers, hands, hooves, longleg, longneck, buckteeth, strainteeth, horns, tusks, smelly, flys, hops, swims, tunnels, strong, muscle, bipedal, active, nocturnal, hibernate, plankton, vegetation, insects, forager, grazer, hunter, scavenger, skimmer, stalker, arctic, coastal, desert, bush, plains, forest, fields, jungle, mountains, ocean, water, tree, cave, fierce, group, nestspot."
horse,"The animal is black, white, brown, gray, patches, furry, toughskin, big, lean, hooves, longleg, longneck, tail, chewteeth, buckteeth, smelly, walks, fast, strong, muscle, quadrapedal, active, agility, vegetation, grazer, newworld, oldworld, plains, fields, ground, timid, smart, group, domestic. It is not blue, orange, red, yellow, spots, stripes, hairless, small, bulbous, flippers, hands, pads, paws, meatteeth, strainteeth, horns, claws, tusks, flys, hops, swims, tunnels, slow, weak, bipedal, inactive, nocturnal, hibernate, fish, meat, plankton, insects, forager, hunter, scavenger, skimmer, stalker, arctic, coastal, desert, bush, forest, jungle, mountains, ocean, water, tree, cave, fierce, solitary, nestspot."
german shepherd,"The animal is black, brown, gray, patches, furry, big, lean, pads, paws, longleg, tail, chewteeth, meatteeth, claws, smelly, walks, fast, strong, muscle, quadrapedal, active, agility, meat, hunter, stalker, newworld, oldworld, plains, ground, fierce, smart, solitary, domestic. It is not white, blue, orange, red, yellow, spots, stripes, hairless, toughskin, small, bulbous, flippers, hands, hooves, longneck, buckteeth, strainteeth, horns, tusks, flys, hops, swims, tunnels, slow, weak, bipedal, inactive, nocturnal, hibernate, fish, plankton, vegetation, insects, forager, grazer, scavenger, skimmer, arctic, coastal, desert, bush, forest, fields, jungle, mountains, ocean, water, tree, cave, timid, group, nestspot."
blue whale,"The animal is blue, gray, spots, hairless, toughskin, big, bulbous, flippers, tail, strainteeth, swims, fast, slow, strong, muscle, inactive, fish, plankton, skimmer, newworld, oldworld, arctic, ocean, water, timid, smart, group, solitary. It is not black, white, brown, orange, red, yellow, patches, stripes, furry, small, lean, hands, hooves, pads, paws, longleg, longneck, chewteeth, meatteeth, buckteeth, horns, claws, tusks, smelly, flys, hops, tunnels, walks, weak, bipedal, quadrapedal, active, nocturnal, hibernate, agility, meat, vegetation, insects, forager, grazer, hunter, scavenger, stalker, coastal, desert, bush, plains, forest, fields, jungle, mountains, ground, tree, cave, fierce, nestspot, domestic."
siamese cat,"The animal is black, white, brown, gray, patches, furry, small, lean, pads, paws, longleg, tail, chewteeth, meatteeth, claws, walks, fast, weak, muscle, quadrapedal, active, inactive, nocturnal, agility, fish, meat, hunter, stalker, newworld, oldworld, ground, fierce, timid, smart, solitary, domestic. It is not blue, orange, red, yellow, spots, stripes, hairless, toughskin, big, bulbous, flippers, hands, hooves, longneck, buckteeth, strainteeth, horns, tusks, smelly, flys, hops, swims, tunnels, slow, strong, bipedal, hibernate, plankton, vegetation, insects, forager, grazer, scavenger, skimmer, arctic, coastal, desert, bush, plains, forest, fields, jungle, mountains, ocean, water, tree, cave, group, nestspot."
skunk,"The animal is black, white, stripes, furry, small, bulbous, pads, paws, tail, smelly, walks, fast, slow, weak, quadrapedal, active, nocturnal, hibernate, vegetation, forager, newworld, oldworld, forest, fields, ground, timid, solitary. It is not blue, brown, gray, orange, red, yellow, patches, spots, hairless, toughskin, big, lean, flippers, hands, hooves, longleg, longneck, chewteeth, meatteeth, buckteeth, strainteeth, horns, claws, tusks, flys, hops, swims, tunnels, strong, muscle, bipedal, inactive, agility, fish, meat, plankton, insects, grazer, hunter, scavenger, skimmer, stalker, arctic, coastal, desert, bush, plains, jungle, mountains, ocean, water, tree, cave, fierce, smart, group, nestspot, domestic."
